Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Political connections and preferential access to finance: The role of campaign contributions,"Claessens, Stijn; Feijen, Erik; Laeven, Luc",,,,JOURNAL OF FINANCIAL ECONOMICS,JUN 2008,2008,88,3,,,,554,580,,10.1016/j.jfineco.2006.11.003,5th Annual Darden International Finance Conference,2006,442,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,14,18,25,39,52,47,47,66,83,41
Lending relationships in Germany - Empirical evidence from survey data,"Harhoff, D; Korting, T",,,,JOURNAL OF BANKING & FINANCE,OCT 1998,1998,22,10-11,,,,1317,1353,,10.1016/S0378-4266(98)00061-2,,,255,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,3,6,7,19,13,14,15,11,16,16,16,18,17,15,19,13,18,6
Discrimination in the small-business credit market,"Blanchflower, DG; Levine, PB; Zimmerman, DJ",,,,REVIEW OF ECONOMICS AND STATISTICS,NOV 2003,2003,85,4,,,,930,943,,10.1162/003465303772815835,,,224,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,10,13,13,8,14,11,19,14,16,18,29,21,19,9
Access to capital and terms of credit: A comparison of men- and women-owned small businesses,"Coleman, S",,,,JOURNAL OF SMALL BUSINESS MANAGEMENT,JUL 2000,2000,38,3,,,,37,52,,,,,201,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,15,9,6,9,12,14,18,12,7,11,12,27,19,18,5
Inside the black box: Bank credit allocation in China's private sector,"Firth, Michael; Lin, Chen; Liu, Ping; Wong, Sonia M. L.",,,,JOURNAL OF BANKING & FINANCE,JUN 2009,2009,33,6,,,,1144,1155,,10.1016/j.jbankfin.2008.12.008,,,166,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,7,10,15,20,20,19,23,28,14
Optimal lending contracts and firm dynamics,"Albuquerque, R; Hopenhayn, HA",,,,REVIEW OF ECONOMIC STUDIES,APR 2004,2004,71,2,,,,285,315,,10.1111/0034-6527.00285,,,154,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,12,7,5,8,9,7,6,20,11,14,16,9,17,2
Property rights for the poor: Effects of land titling,"Galiani, Sebastian; Schargrodsky, Ernesto",,,,JOURNAL OF PUBLIC ECONOMICS,OCT 2010,2010,94,9-10,,,,700,729,,10.1016/j.jpubeco.2010.06.002,,,151,13.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,20,17,17,28,20,27,11
Entrepreneurship in the EU: To Wish and not to be,"Grilo, I; Irigoyen, JM",,,,SMALL BUSINESS ECONOMICS,MAY 2006,2006,26,4,,,,305,318,,10.1007/s11187-005-1561-3,,,146,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,14,12,10,13,14,13,10,15,11,9,2
Evidence on discrimination in mortgage lending,"Ladd, HF",,,,JOURNAL OF ECONOMIC PERSPECTIVES,SPR 1998,1998,12,2,,,,41,62,,10.1257/jep.12.2.41,,,146,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,8,5,9,5,8,6,9,7,5,5,7,6,2,10,7,8,8,7,9,3
The impact of foreign bank entry in emerging markets: Evidence from India,"Gormley, Todd A.",,,,JOURNAL OF FINANCIAL INTERMEDIATION,JAN 2010,2010,19,1,,,,26,51,,10.1016/j.jfi.2009.01.003,,,104,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,9,13,14,12,8,14,12,5
